location	entries	exits	latitude	longitude
174 st	688724805	301315149	40.837288	-73.887734
e 180 st	13181794	11331283	40.841894	-73.873488
bronx park east	989885358	436281827	40.848828	-73.868457
pelham pkwy	436413912	184653769	40.857192	-73.867615
allerton av	16782469	7684673	40.865462	-73.867352
burke av	4871057	2373026	40.871356	-73.867164
gun hill rd	1325740490	1057387023	40.87785	-73.866256
219 st	2947757	3519239	40.883895	-73.862633
225 st	1953138701	663825898	40.888022	-73.860341
nereid av	7174312	7765479	40.898379	-73.854376
brook av	8204853	11744757	40.807566	-73.91924
cypress av	2013309375	838921472	40.805368	-73.914042
e 149 st	3071080	5505651	40.812118	-73.904098
longwood av	5002314	7653926	40.816104	-73.896435
hunts point av	318913855	117500399	40.820948	-73.890549
whitlock av	4598849	2965956	40.826525	-73.886283
elder av	5502412	8146197	40.828584	-73.879159
st lawrence av	6083983	5429722	40.831509	-73.867618
parkchester	167936824	268622391	40.833226	-73.860816
castle hill av	9211314	9782129	40.834255	-73.851222
zerega av	890704	400594	40.836488	-73.847036
middletown rd	4725379	5321168	40.843863	-73.836322
buhre av	2983617	2194552	40.84681	-73.832569
pelham bay park	150996640	9845391	40.852462	-73.828121
39 av	4464107	4407324	40.752882	-73.932755
36 av	16853253	17492893	40.756804	-73.929575
30 av	11409057	22130210	40.766779	-73.921479
52 st	101541549	10209050	40.744149	-73.912549
69 st	9110149	9153247	40.746325	-73.896403
junction blvd	13159869	33788739	40.749145	-73.869527
clark st	10387471	9631559	40.697466	-73.993086
hoyt st	5204191	3592719	40.690545	-73.985065
nevins st	5061679	11776251	40.688246	-73.980492
kingston av	4807420	6380856	40.669399	-73.942161
saratoga av	66222498	16488275	40.661453	-73.916327
junius st	5540092	5330841	40.663515	-73.902447
pennsylvania av	3398765	1062034	40.664635	-73.894895
new lots av	12308320	7891332	40.658733	-73.899232
president st	3247893	2315987	40.667883	-73.950683
sterling st	9489284	9634770	40.662742	-73.95085
winthrop st	16336480	6375241	40.656652	-73.9502
beverly rd	67227475	17080409	40.645098	-73.948959
newkirk av	17125842	13798834	40.639967	-73.948411
morris park	5080615	2488896	40.854364	-73.860495
baychester av	6829960	853685	40.878663	-73.838591
tompkinsville	603110	580847	40.636949	-74.074835
