Zip Code,Location,City,Avg. Income/H/hold,,,
11378,"40.724096, -73.90271","Queens, New York",68460,,,
11379,"40.716028, -73.87925","Queens, New York",79573,,,
11380,"40.651378, -73.870779","Queens, New York",51992,,,
11381,"40.651378, -73.870779","Queens, New York",53165,,,
11385,"40.703069, -73.89285","Queens, New York",64481,,,
11386,"40.651378, -73.870779","Queens, New York",84423,,,
11411,"40.693538, -73.73574","Queens, New York",87231,,,
11412,"40.697188, -73.75948","Queens, New York",75307,,,
11413,"40.670138, -73.75141","Queens, New York",83459,,,
11414,"40.658188, -73.84321","Queens, New York",72632,,,
11415,"40.706903, -73.82973","Queens, New York",65981,,,
11416,"40.683301, -73.8503","Queens, New York",61285,,,
11417,"40.675534, -73.84476","Queens, New York",69989,,,
11418,"40.698485, -73.83365","Queens, New York",67003,,,
11419,"40.688688, -73.82216","Queens, New York",65711,,,
11420,"40.673138, -73.81443","Queens, New York",66220,,,
11421,"40.69087, -73.85828","Queens, New York",69053,,,
11422,"40.662538, -73.73514","Queens, New York",86996,,,
11423,"40.714261, -73.76824","Queens, New York",66455,,,
11424,"40.651378, -73.870779","Queens, New York",49934,,,
11426,"40.732239, -73.72108","Queens, New York",83376,,,
11427,"40.728235, -73.74782","Queens, New York",72874,,,
11428,"40.719981, -73.74127","Queens, New York",71663,,,
11429,"40.708833, -73.73903","Queens, New York",80464,,,
11430,"40.650519, -73.79567","Queens, New York",83168,,,
11432,"40.714144, -73.79324","Queens, New York",52975,,,
11433,"40.696538, -73.78734","Queens, New York",48795,,,
11434,"40.674888, -73.7727","Queens, New York",60702,,,
11435,"40.700068, -73.80986","Queens, New York",59535,,,
11436,"40.674146, -73.79687","Queens, New York",69259,,,
11451,"40.651378, -73.870779","Queens, New York",36916,,,
11691,"40.60002, -73.75962","Queens, New York",39947,,,
11692,"40.592939, -73.79568","Queens, New York",45816,,,
11693,"40.596959, -73.81978","Queens, New York",57443,,,
11694,"40.57649, -73.84721","Queens, New York",77547,,,
11697,"40.560167, -73.90891","Queens, New York",99792,,,
