Rank,Zip Code,Population
609,11507,"7,286"
610,13403,"7,258"
611,13029,"7,243"
612,10607,"7,194"
613,13077,"7,135"
614,14886,"7,130"
615,14414,"7,101"
616,10507,"7,068"
617,10590,"7,060"
618,10007,"7,023"
619,12428,"7,022"
620,12564,"6,995"
621,11363,"6,952"
622,14489,"6,923"
623,12184,"6,871"
624,12158,"6,852"
625,14070,"6,847"
626,12077,"6,823"
627,14514,"6,821"
628,14779,"6,785"
629,11709,"6,708"
630,13135,"6,689"
631,10996,"6,673"
632,14068,"6,632"
633,12754,"6,608"
634,13202,"6,581"
635,12832,"6,569"
636,13073,"6,475"
637,12051,"6,421"
638,13339,"6,396"
639,12721,"6,394"
640,10577,"6,373"
641,11560,"6,365"
642,13142,"6,338"
643,14047,"6,298"
644,14432,"6,297"
645,12834,"6,286"
646,12582,"6,272"
647,11971,"6,235"
648,14706,"6,189"
649,13316,"6,179"
650,12222,"6,153"
651,13902,"6,149"
652,13211,"6,145"
653,12090,"6,139"
654,13865,"6,135"
655,12822,"6,123"
656,13114,"6,120"
657,12307,"6,115"
658,11786,"6,111"
659,11721,"6,086"
660,14108,"6,082"
661,12986,"6,071"
661,14469,"6,071"
662,14568,"6,065"
663,13108,"6,050"
664,12186,"6,047"
665,13346,"6,045"
666,13118,"6,039"
667,12972,"6,034"
668,13856,"6,009"
669,12518,"5,988"
670,11109,"5,981"
671,14569,"5,915"
672,14487,"5,910"
673,12962,"5,831"
674,13309,"5,823"
675,14303,"5,805"
676,14132,"5,792"
677,14837,"5,779"
678,13753,"5,777"
679,14261,"5,736"
680,11020,"5,728"
681,13624,"5,715"
682,10506,"5,693"
683,10913,"5,610"
684,11980,"5,604"
685,10282,"5,593"
686,13326,"5,584"
687,13166,"5,572"
688,10502,"5,567"
689,13778,"5,557"
690,14867,"5,548"
691,10516,"5,542"
692,12542,"5,537"
693,12123,"5,492"
694,14174,"5,475"
695,10993,"5,433"
696,14551,"5,426"
697,14590,"5,412"
698,12025,"5,404"
698,11940,"5,404"
699,14801,"5,379"
700,13159,"5,348"
701,14009,"5,341"
702,14067,"5,328"
703,14530,"5,317"
704,10962,"5,314"
705,14727,"5,225"
706,10594,"5,215"
707,11579,"5,209"
708,13830,"5,196"
709,13068,"5,160"
710,13407,"5,155"
711,10069,"5,085"
712,12170,"5,061"
713,12305,"5,059"
714,14131,"5,039"
715,12498,"5,005"
716,13053,"4,980"
717,10532,"4,968"
718,12084,"4,959"
719,14505,"4,925"
720,12887,"4,919"
721,11804,"4,916"
722,14572,"4,910"
723,12446,"4,902"
724,10576,"4,891"
725,12883,"4,885"
726,14871,"4,879"
727,13733,"4,861"
728,11952,"4,841"
729,12522,"4,833"
730,11715,"4,832"
731,10560,"4,825"
732,13605,"4,816"
733,12143,"4,800"
734,12946,"4,790"
735,14510,"4,772"
736,12545,"4,750"
737,14787,"4,739"
738,14036,"4,729"
739,11568,"4,704"
740,14883,"4,670"
741,12845,"4,647"
742,14423,"4,631"
743,12053,"4,621"
744,14546,"4,608"
745,11942,"4,597"
745,11514,"4,597"
746,14105,"4,570"
747,13452,"4,553"
748,14136,"4,551"
749,12992,"4,517"
750,13140,"4,509"
751,12871,"4,492"
752,14750,"4,483"
753,14512,"4,446"
754,12037,"4,444"
755,10464,"4,434"
755,12580,"4,434"
756,12885,"4,432"
757,13862,"4,429"
758,12148,"4,414"
759,14532,"4,389"
760,13082,"4,380"
761,10916,"4,361"
762,12594,"4,357"
763,14737,"4,351"
764,14433,"4,350"
765,13849,"4,334"
766,13329,"4,330"
,13811,"4,313"
767,12122,"4,313"
768,13838,"4,284"
769,13460,"4,279"
770,10963,"4,276"
771,12816,"4,269"
772,14541,"4,255"
773,14802,"4,251"
774,13803,"4,240"
775,12157,"4,228"
776,10524,"4,227"
777,14891,"4,210"
778,12134,"4,186"
779,12833,"4,182"
780,14080,"4,158"
781,11944,"4,121"
782,14772,"4,108"
783,12944,"4,100"
784,13074,"4,078"
785,14882,"4,072"
786,13030,"4,057"
786,10928,"4,057"
786,13637,"4,057"
787,13634,"4,049"
788,13602,"4,007"
789,14485,"3,989"
790,14042,"3,966"
791,13456,"3,962"
792,12790,"3,956"
793,13317,"3,954"
794,13833,"3,947"
795,13354,"3,944"
796,12929,"3,916"
797,10921,"3,911"
798,12758,"3,908"
799,10925,"3,878"
800,14733,"3,844"
801,11796,"3,826"
802,10548,"3,817"
803,12027,"3,815"
804,13033,"3,801"
805,11955,"3,785"
806,13748,"3,779"
807,13408,"3,775"
808,11732,"3,764"
808,14548,"3,764"
809,12083,"3,760"
810,13131,"3,736"
810,13476,"3,736"
811,13084,"3,734"
812,14125,"3,733"
813,12865,"3,688"
814,12827,"3,665"
815,11954,"3,655"
816,12526,"3,639"
817,13491,"3,617"
818,11719,"3,604"
819,13743,"3,576"
820,14823,"3,561"
821,11697,"3,540"
822,14416,"3,528"
823,13439,"3,518"
824,13116,"3,504"
825,13787,"3,502"
826,12809,"3,493"
827,12487,"3,483"
828,14202,"3,474"
829,10926,"3,467"
830,10006,"3,454"
831,12449,"3,433"
832,13655,"3,431"
833,14719,"3,424"
833,13795,"3,424"
834,13480,"3,398"
835,13132,"3,397"
836,12543,"3,395"
837,12443,"3,378"
838,12196,"3,371"
839,14812,"3,366"
840,10958,"3,365"
841,14543,"3,360"
842,11749,"3,345"
843,10987,"3,342"
844,14111,"3,337"
845,13080,"3,329"
846,12531,"3,323"
847,13417,"3,317"
848,13471,"3,313"
849,12404,"3,306"
850,12138,"3,300"
851,14757,"3,298"
852,13668,"3,291"
