Rank,Zip_Code,Population,lat_long
348,11754,"18,086","40.886865, -73.245725"
349,12534,"17,967","42.224111, -73.756154"
350,13790,"17,875","42.165361, -76.001942"
351,10603,"17,843","41.057813, -73.777196"
352,14468,"17,789","43.290542, -77.808702"
353,11790,"17,694","40.903592, -73.131054"
354,12189,"17,563","42.733036, -73.718976"
355,13205,"17,479","43.004501, -76.141720"
356,10580,"17,391","40.978942, -73.693320"
357,11738,"17,352","40.837386, -73.037968"
358,12831,"17,228","43.190815, -73.691874"
359,12589,"17,017","41.626536, -74.145217"
360,13676,"17,016","44.654960, -74.926222"
361,13039,"16,837","43.161395, -76.075729"
362,14607,"16,750","43.150826, -77.586219"
363,14305,"16,683","43.122642, -79.023024"
364,12054,"16,649","42.608547, -73.864416"
365,14611,"16,630","43.147187, -77.646472"
366,14052,"16,614","42.772537, -78.584397"
367,14615,"16,613","43.204250, -77.657326"
368,10606,"16,600","41.020949, -73.775986"
369,11575,"16,546","40.679763, -73.584023"
370,11733,"16,545","40.934181, -73.105889"
370,10538,"16,545","40.937865, -73.755930"
371,13203,"16,528","43.061009, -76.134973"
372,10549,"16,465","41.203948, -73.718025"
373,13413,"16,382","43.061560, -75.276199"
374,13206,"16,360","43.074194, -76.105762"
375,11788,"16,228","40.817677, -73.210123"
376,13662,"16,069","44.933501, -74.878245"
377,11937,"15,984","41.008427, -72.194482"
378,14901,"15,965","42.087649, -76.746938"
379,12524,"15,964","41.532263, -73.889150"
380,11703,"15,952","40.732670, -73.325925"
381,12206,"15,944","42.673376, -73.781497"
382,11950,"15,884","40.809045, -72.847221"
383,10017,"15,801","40.752292, -73.972393"
384,11767,"15,783","40.847754, -73.145703"
385,13669,"15,782","44.654951, -75.485053"
386,11780,"15,753","40.890431, -73.171453"
387,10960,"15,684","41.092282, -73.925728"
388,12953,"15,569","44.764710, -74.279566"
389,10965,"15,517","41.061482, -74.015910"
390,13104,"15,515","42.963030, -75.948439"
391,14904,"15,480","42.069428, -76.805553"
392,13031,"15,451","43.041401, -76.307912"
393,10470,"15,432","40.900965, -73.863998"
394,12308,"15,422","42.820980, -73.919670"
395,11004,"15,234","40.745809, -73.711240"
396,10307,"15,232","40.506815, -74.241709"
397,12118,"15,218","42.923768, -73.718177"
398,11946,"15,145","40.881714, -72.536582"
399,14564,"15,127","42.981266, -77.431077"
400,11798,"15,033","40.751870, -73.371077"
401,12182,"14,928","42.801006, -73.637646"
402,11782,"14,915","40.753968, -73.099453"
403,13215,"14,892","42.980793, -76.223386"
404,11949,"14,863","40.860476, -72.793791"
405,13219,"14,781","43.041266, -76.224195"
406,12771,"14,757","41.375285, -74.631515"
407,10804,"14,753","40.946841, -73.788051"
408,14210,"14,723","42.864041, -78.832957"
