DOLocationID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,PUlatitude,PUlongitude,DOlatitude,DOlongitude
1,1,01/02/2019 06:52:06 PM,01/02/2019 06:52:59 PM,2,2.6,5,N,3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 06:53:30 PM,01/02/2019 06:54:19 PM,2,2.6,5,N,1,75.0,0.0,0.0,0.0,14.5,0.3,89.8,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 06:35:42 PM,01/02/2019 06:36:43 PM,1,3.1,5,N,1,100.0,0.0,0.0,20.05,0.0,0.3,120.35,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 06:21:19 PM,01/02/2019 06:22:38 PM,3,0.0,5,N,1,110.0,0.0,0.0,0.0,0.0,0.3,110.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 07:43:47 PM,01/02/2019 07:50:56 PM,4,0.0,5,N,1,92.5,0.0,0.0,18.56,0.0,0.3,111.36,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/03/2019 03:52:47 AM,01/03/2019 03:58:13 AM,2,0.0,5,N,1,84.0,0.0,0.0,16.86,0.0,0.3,101.16,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/03/2019 03:03:25 AM,01/03/2019 03:03:30 AM,2,0.0,5,N,1,60.0,0.0,0.5,12.16,0.0,0.3,72.96,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/03/2019 05:20:25 AM,01/03/2019 05:20:29 AM,4,0.0,5,N,1,96.0,0.0,0.5,11.0,0.0,0.3,107.8,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/03/2019 08:32:08 AM,01/03/2019 08:32:11 AM,1,0.0,5,N,1,85.0,0.0,0.0,12.0,0.0,0.3,97.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/03/2019 09:28:45 AM,01/03/2019 09:29:20 AM,1,0.0,5,N,1,100.0,0.0,0.5,0.0,12.5,0.3,113.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
