station	zipcode	lat	long	population	avg_household_income	jan_entry	jan_exit	feb_entry	feb_exit	mar_entry	mar_exit	 apr_entry	apr_exit	 may_entry	may_exit	jun_entry	jun_exit	jul_entry	jul_exit	aug_entry	aug_exit	sep_entry	sep_exit	oct_entry	oct_exit	 nov_entry	nov_exit	dec_entry	dec_exit
e 149 st	10455	40.812118	-73.904098	42,283	19389	2992492	5425692	3015377	5450370	3049558	5486758	3071080	5505651	5230874	6651059	5237046	6679485	5225793	6693517	5235017	6724758	5227975	6741104	5229187	6761218	5239372	6796591	5230940	6815690
longwood av	10459	40.816104	-73.896435	48,351	17498	4936019	7584499	4956049	7606185	4983165	7636069	5002314	7653926	5022501	7674595	5047117	7703847	5063741	7725624	5090505	7758841	5110088	7780380	5130631	7804110	5155850	7802282	4457385	5319450
hunts point av	10459	40.820948	-73.890549	48,351	17498	318877443	117478852	318884274	117485413	318900089	117493955	318913855	117500399	318924845	117507424	318940915	117516471	318953381	117523769	1124011671	1979764573	1123967219	1979815129	1123923740	1979861897	1123880924	1979921442	1123826854	1979968532
whitlock av	10459	40.826525	-73.886283	48,351	17498	4537750	2921403	4555963	2934864	4580346	2952075	4598849	2965956	4617586	2980018	4639651	2997818	4655018	3011454	4678496	3028426	4697567	3043692	4716380	3058988	4740827	3077898	4758521	3092277
elder av	10472	40.828584	-73.879159	68,796	23565	5324592	7903552	5377760	7972369	5447599	8070085	5502412	8146197	5557790	8218124	5623547	8308641	5671134	8375798	5733912	8466208	5787734	8539286	5842402	8615705	5910539	8712624	5962298	8783721
st lawrence av	10472	40.831509	-73.867618	68,796	23565	6023764	5357143	6041754	5378168	6065219	5407034	6083983	5429722	6103232	5452541	6127997	5481683	6146645	5503186	6170440	5531596	6190635	5554655	6211204	5578220	6236269	5609056	6255307	5632013
parkchester	10472	40.833226	-73.860816	68,796	23565	67107558	16777372	167848076	268502717	167898026	268568989	167936824	268622391	167976615	268675701	168023212	268746308	168051492	268798797	168088242	268865072	168128475	268919920	168170785	268973486	168219669	269037436	168253769	269090563
castle hill av	10462	40.834255	-73.851222	76,756	33735	9121897	9518815	9150038	9597389	9184063	9702756	9211314	9782129	9240288	9861994	9274271	9962854	9299302	10035909	9329388	10131476	9356977	10214485	9379363	10295481	9411510	10401641	9437351	10476627
zerega av	10461	40.836488	-73.847036	50,348	40024	834328	377223	851289	384339	873039	393300	890704	400594	908524	407681	929679	417073	945774	424104	965903	433203	983295	440874	1001137	449052	1024227	458584	1041889	465757
middletown rd	10461	40.843863	-73.836322	50,348	40024	4677830	5219755	4691399	5248009	4711187	5290260	4725379	5321168	4740300	5353130	4758601	5391536	4771732	5419196	4789364	5454492	4805435	5486030	4820736	5517024	4839191	5556330	4852333	5584402
buhre av	10461	40.84681	-73.832569	50,348	40024	2928540	2040677	2944872	2085815	2966492	2147496	2983617	2194552	3001584	2242483	3023611	2300980	3039466	2342619	3060400	2396753	3078702	2444125	3096062	2490600	3117870	2551152	3135121	2594488
pelham bay park	10461	40.852462	-73.828121	50,348	40024	150996550	33554825	150996570	9795315	150996603	9823697	150996640	9845391	150996683	9867063	150996722	9896233	150996731	9919862	150996806	9952097	150996846	9974785	150996893	9994855	150996939	10026551	150996967	10050198
36 av	11106	40.756804	-73.929575	38,363	60725	17024963	17480813	16956998	17487451	16911165	17490538	16853253	17492893	16813310	17496667	16767611	17502775	16712145	17508160	17680712	17665694	17695855	17680567	17682820	17688084	17674065	17692814	17741788	17728405
30 av	11102	40.766779	-73.921479	30,800	60436	11279761	22041824	11299671	22071173	11356907	22104620	11409057	22130210	11465811	22169253	11522832	22215597	11880485	22397423	11949718	22366596	11988866	22305806	12027570	22340503	12093506	22390575	12117165	22423045
52 st	11377	40.744149	-73.912549	86,421	54989	98252106	8013997	101589017	10124568	101577472	10165415	101541549	10209050	101508396	10251348	868022531	174325560	8529384	10417271	8534996	10433892	8523919	10429033	8512628	10423335	8508650	10425878	8485964	10427859
69 st	11377	40.746325	-73.896403	86,421	54989	9120521	9141351	9116487	9145504	9118853	9149204	9110149	9153247	9106757	9156409	9107714	9161292	9098727	9167949	9100793	9172657	9096543	9180897	9092246	9186277	9092141	9190827	9082491	9197849
junction blvd	11372	40.749145	-73.869527	61,844	53963	13026421	33477841	13063915	33569881	13118715	33691634	13159869	33788739	13202768	33886071	13254797	34005059	13296267	34104074	13346844	34226292	13391642	34326251	13434313	34426980	13485774	34546202	13525529	34638570
clark st	11201	40.697466	-73.993086	62,823	56293	10366593	9602091	10372329	9609383	10391865	9621688	10387471	9631559	10390974	9639630	10432755	9658188	10465325	9663041	10510292	9675109	10550241	9685152	10591825	9693605	10637701	9705405	10673550	9712013
hoyt st	11201	40.690545	-73.985065	62,823	56293	5142921	3557191	5161901	3568048	5187057	3583514	5204191	3592719	5223126	3602634	5245312	3615802	5259975	3624438	5278907	3636169	5296437	3645815	5324724	3656265	5346972	3666690	5364824	3675316
nevins st	11217	40.688246	-73.980492	41,407	49567	5036402	11715529	5042890	11733159	5061140	11762203	5061679	11776251	5072915	11794243	5090890	11819978	5090074	11831538	5109327	11860689	5116016	11877124	5127143	11896638	5148086	11926087	5143533	11939078
kingston av	11213	40.669399	-73.942161	66,295	26366	4771412	6339473	4783365	6352547	4805177	6365056	4807420	6380856	4821186	6392353	4841819	6403584	4843697	6418548	4864525	6430094	4877740	6444690	4890500	6459594	4911951	6471968	4913939	6487640
saratoga av	11212	40.661453	-73.916327	76,527	20839	67108394	16777965	66229588	16479273	66233099	16487608	66222498	16488275	66220057	16491346	66220577	16498176	66208329	16497143	66212154	16502755	66206753	16503753	66206748	16507539	66210423	16514077	66196394	16514255
junius st	11212	40.663515	-73.902447	76,527	20839	5521471	5413041	5527125	5389668	5536254	5368081	5540092	5330841	5545887	5305166	5554096	5281099	5555692	5241785	5564709	5219623	5570186	5184607	5576093	5157444	5583629	5131670	5585382	5092267
pennsylvania av	11207	40.664635	-73.894895	91,972	24163	3424088	1046724	3416676	1051419	3413607	1059808	3398765	1062034	3389131	1066507	3381006	1073259	3363032	1073357	3356653	1079745	3341388	1082984	3331801	1087723	3323786	1094697	3306811	1096748
new lots av	11207	40.658733	-73.899232	91,972	24163	12316322	7799152	12316139	7826214	12318260	7867340	12308320	7891332	12303233	7919382	12301554	7956928	12288438	7976211	12290417	8015857	12276459	8039587	12268095	8067474	12265224	8101300	12252694	8119829
president st	11225	40.667883	-73.950683	58,882	30192	3172996	2295409	3198651	2303768	3234674	2313751	3247893	2315987	3268660	2315463	3282403	2298270	3276966	2299950	3289586	2318085	3325016	2332875	3340727	2338895	3375278	2341926	3388520	2333911
sterling st	11225	40.662742	-73.95085	58,882	30192	9353775	9566649	9400576	9585866	9470102	9612066	9489284	9634770	9506084	9641955	9531974	9647043	9543291	9645430	9542332	9673198	9519580	9676033	9541294	9679874	9578801	9722375	9576077	9740480
winthrop st	11225	40.656652	-73.9502	58,882	30192	16254580	6266668	16285263	6298114	16328442	6333982	16336480	6375241	16363072	6403584	16399093	6433570	16343915	6468677	16411435	6468680	16441036	6498709	16474959	6532842	16555042	6565412	16607030	6608848
beverly rd	11226	40.645098	-73.948959	100,277	29498	67314478	17069224	67306018	17075485	67273445	17079840	67227475	17080409	67191835	17083012	67155615	17086895	67109104	17086987	67078913	17091018	67037781	17092132	67004378	17094260	66973083	17102169	66926533	17103061
newkirk av	11226	40.639967	-73.948411	100,277	29498	16957339	13641500	17007358	13683860	17074322	13732999	17125842	13798834	17178321	13849271	17238866	13901785	17281863	13963050	17338181	14006635	17385937	14067183	17432914	14123595	17496519	14178227	17545199	14245116
morris park	10462	40.854364	-73.860495	76,756	33735	5017102	2398800	5035570	2424800	5064022	2464016	5080615	2488896	5102972	2520728	5127724	2553127	5139277	2572057	5163562	2601781	5179357	2631490	5198398	2660492	5224288	2699268	5236671	2721281
baychester av	10469	40.878663	-73.838591	73,870	42102	6793017	814234	6803938	825439	6825237	837697	6829960	853685	2062366511	167394708	2062379216	167395141	2062377535	167391632	2062390668	167394662	2062397705	167387461	2062406798	167385085	2062420253	167383555	2062417953	167378632
tompkinsville	10301	40.636949	-74.074835	38,733	45620	587310	568883	591756	572412	597931	575860	603110	580847	608758	584975	614825	589489	618763	594419	623582	597629	628042	601928	632489	605711	637154	609136	640703	613149
39 av	11101	40.752882	-73.932755	30,043	57866	3595555	3645832	4470869	4389500	4469498	4398905	4464107	4407324	4459429	4419486	4454606	4432396	4446988	4440909	4442746	4453251	4435166	4465485	4428485	4475579	4423648	4492492	4414096	4504870
