location	entries	exits	latitude	longitude
elder av	5962298	8783721	40.828584	-73.879159
st lawrence av	6255307	5632013	40.831509	-73.867618
parkchester	168253769	269090563	40.833226	-73.860816
castle hill av	9437351	10476627	40.834255	-73.851222
zerega av	1041889	465757	40.836488	-73.847036
middletown rd	4852333	5584402	40.843863	-73.836322
buhre av	3135121	2594488	40.84681	-73.832569
pelham bay park	150996967	10050198	40.852462	-73.828121
39 av	4414096	4504870	40.752882	-73.932755
36 av	17741788	17728405	40.756804	-73.929575
30 av	12117165	22423045	40.766779	-73.921479
52 st	8485964	10427859	40.744149	-73.912549
69 st	9082491	9197849	40.746325	-73.896403
junction blvd	13525529	34638570	40.749145	-73.869527
clark st	10673550	9712013	40.697466	-73.993086
hoyt st	5364824	3675316	40.690545	-73.985065
nevins st	5143533	11939078	40.688246	-73.980492
kingston av	4913939	6487640	40.669399	-73.942161
saratoga av	66196394	16514255	40.661453	-73.916327
junius st	5585382	5092267	40.663515	-73.902447
pennsylvania av	3306811	1096748	40.664635	-73.894895
new lots av	12252694	8119829	40.658733	-73.899232
president st	3388520	2333911	40.667883	-73.950683
sterling st	9576077	9740480	40.662742	-73.95085
winthrop st	16607030	6608848	40.656652	-73.9502
beverly rd	66926533	17103061	40.645098	-73.948959
newkirk av	17545199	14245116	40.639967	-73.948411
morris park	5236671	2721281	40.854364	-73.860495
baychester av	2062417953	167378632	40.878663	-73.838591
tompkinsville	640703	613149	40.636949	-74.074835
astoria blvd	36569106	654311439	40.770258	-73.917843
